window_start,name,provider,vehicle,pad,location,mission
2025-09-08 19:39:00+00:00,Smart Dragon 3 | Unknown Payload,China Rocket Co. Ltd.,Smart Dragon 3,Oriental Spaceport mobile launch ship,Sea Launch,Unknown Payload
2025-09-09 00:02:00+00:00,Falcon 9 Block 5 | Nusantara Lima,SpaceX,Falcon 9 Block 5,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Nusantara Lima
2025-09-09 01:52:00+00:00,Long March 7A | Unknown Payload,China Aerospace Science and Technology Corporation,Long March 7A,201,"Wenchang Space Launch Site, People's Republic of China",Unknown Payload
2025-09-10 14:12:00+00:00,Falcon 9 Block 5 | SDA Tranche 1 Transport Layer B,SpaceX,Falcon 9 Block 5,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",SDA Tranche 1 Transport Layer B
2025-09-11 15:54:06+00:00,Soyuz 2.1a | Progress MS-32 (93P),Russian Federal Space Agency (ROSCOSMOS),Soyuz 2.1a,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Progress MS-32 (93P)
2025-09-13 02:30:00+00:00,Soyuz 2.1b/Fregat | Glonass-K1 No. 18,Russian Space Forces,Soyuz 2.1b Fregat,Unknown Pad,"Plesetsk Cosmodrome, Russian Federation",Glonass-K1 No. 18
2025-09-13 15:41:00+00:00,Falcon 9 Block 5 | Starlink Group 17-10,SpaceX,Falcon 9 Block 5,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Starlink Group 17-10
2025-09-14 22:11:49+00:00,Falcon 9 Block 5 | Cygnus CRS-2 NG-23,SpaceX,Falcon 9 Block 5,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Cygnus CRS-2 NG-23
2025-09-23 11:32:00+00:00,Falcon 9 Block 5 | IMAP & others,SpaceX,Falcon 9 Block 5,Launch Complex 39A,"Kennedy Space Center, FL, USA",IMAP & others
2025-09-25 00:00:00+00:00,Atlas V 551 | Project Kuiper (KA-03),United Launch Alliance,Atlas V 551,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Project Kuiper (KA-03)
2025-09-29 00:00:00+00:00,New Glenn | EscaPADE,Blue Origin,New Glenn,Launch Complex 36A,"Cape Canaveral SFS, FL, USA",EscaPADE
2025-09-30 00:00:00+00:00,Falcon 9 Block 5 | Bandwagon 4 (Dedicated Mid-Inclination Rideshare),SpaceX,Falcon 9 Block 5,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Bandwagon 4 (Dedicated Mid-Inclination Rideshare)
2025-09-30 00:00:00+00:00,Falcon 9 Block 5 | KOMPSAT-7A,SpaceX,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",KOMPSAT-7A
2025-09-30 00:00:00+00:00,Falcon 9 Block 5 | NROL-48,SpaceX,Falcon 9 Block 5,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",NROL-48
2025-09-30 00:00:00+00:00,Falcon 9 Block 5 | Starlink Group 11-25,SpaceX,Falcon 9 Block 5,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Starlink Group 11-25
2025-09-30 00:00:00+00:00,HASTE | JAKE 4,Rocket Lab,Electron,Rocket Lab Launch Complex 2 (Launch Area 0 C),"Wallops Flight Facility, Virginia, USA",JAKE 4
2025-09-30 00:00:00+00:00,New Shepard | NS-35,Blue Origin,New Shepard,West Texas Suborbital Launch Site/ Corn Ranch,"Corn Ranch, Van Horn, TX, USA",NS-35
2025-09-30 00:00:00+00:00,Soyuz 2.1a | Obzor-R No.1,Russian Federal Space Agency (ROSCOSMOS),Soyuz 2.1a,Unknown Pad,"Plesetsk Cosmodrome, Russian Federation",Obzor-R No.1
2025-09-30 00:00:00+00:00,Vulcan VC6L | Project Kuiper (Vulcan #1),United Launch Alliance,Vulcan VC6L,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",Project Kuiper (Vulcan #1)
2025-10-21 01:58:00+00:00,H3-24 | HTV-X1,Mitsubishi Heavy Industries,H3-24,Yoshinobu Launch Complex LP-2,"Tanegashima Space Center, Japan",HTV-X1
2025-10-22 00:00:00+00:00,Falcon 9 Block 5 | SpainSat NG II,SpaceX,Falcon 9 Block 5,Unknown Pad,"Cape Canaveral SFS, FL, USA",SpainSat NG II
2025-10-31 00:00:00+00:00,Atlas V 551 | ViaSat-3 EMEA,United Launch Alliance,Atlas V 551,Space Launch Complex 41,"Cape Canaveral SFS, FL, USA",ViaSat-3 EMEA
